text,labels
kwa bahati mbaya fadhila yoyote katika kazi ya utengenezaji wa filamu hii ilipotea kwenye hati ya kusikitisha,negative
huwa na sauti ya juu zaidi kuliko msemaji mwingine yeyote wa ukubwa huu ni mdogo sana hivi kwamba walio wengi wangefikiri sifa hiyo inakosekana hata iwe haina thamani gani,positive
iligundua kwamba ni rahisi kutengeneza na kutumia bidhaa hiyo,positive
ipurkated hii kwa ajili ya msimamizi wa gari na haifaulu,negative
sinema nzuri kwelikweli juu ya upendo mkubwa usio na masharti,positive
mwandiko huo ni wa kipumbavu sana,negative
kwa kushangaza mimi hupata sinema zake kupoteza muda mwingi kutazama,negative
Sasa unajua ni kwa nini niliitoa 10,positive
Sehemu ya pili ya spidrocock iliboresha sana msisimuaji na kukimbiza sinema,positive
kufanikiwa kwa filamu hiyo kwategemea kubebwa kwa maua ya kijani - kibichi ya sydney kuwa tabia ya alexander ya metaley,positive
nitapatia filamu hii 10 kati ya 10,positive
Wote hufanya kazi nzuri na ni wenye kuchekesha,positive
Mahali hapo ni penye kuchukiza,negative
Ubora bora kabisa wa sauti,positive
hadithi hiyo haiwezi kuwa ya kipumbavu,negative
faida kamera nzuri picha nzuri sana pia ina mitindo mizuri kama nyeusi na nyeupe na zaidi,positive
amependezwa sana na picha hii ya kichwa,positive
Ilijaribu kuku aina ya ravoli pamoja na cranberrymm,positive
Ununue vizuri na utapata tena simu yangu ifuatayo,positive
Nimenunua simu hii ya mkononi ya nokia majuma machache yaliyopita na ilikuwa yenye kuogofya,negative
Ni tamu sana,positive
shida ilikuwa maandishi,negative
Pitio hili limepitwa na wakati kwa kuwa ninafikiria hadithi ya dada wawili kuwa sinema moja kubwa zaidi iliyowahi kutengenezwa,positive
Sikuzote raha inayoshughulika naye,positive
seti ya kuvutia inayotumiwa katika filamu nyingi ni vito vya kupendeza macho,positive
Kuna chakula kingi kizuri katika vegas hivi kwamba nahisi nimedanganywa kwa kupoteza fursa ya kula kwa kwenda kwenye mchele na kampuni,negative
victor mclaglen alikuwa mbaya hata na brian donlevy alikuwa haeleweki,negative
hata squibs anaonekana mbaya,negative
img i alihisi kama i haikuwa imewahi kula tuhai hadi mlo huu,positive
Tumia pesa zako na wakati wako mahali pengine,negative
Sina maneno mengi ya kusema kuhusu mahali hapa lakini hufanya kila kitu vizuri sana,positive
yule aliyetukatisha tamaa kabisa alikuwa mhudumu wetu,negative
yake kidogo lakini nafikiri kwamba ngono yake yazunguka - zunguka juu ya mkate mzito na kuisukuma kwa mawe na kufanya ngono hadi kwenye betri yake ikiwa na sanduku la ngozi la mtindo wa kimtindo,positive
Chakula kilikuwa kibaya sana,negative
Ni nani mwenye akili timamu anayenunua betri hii?,negative
akili yako imeoza,negative
Kiwango cha 5 cha vikolezo kilikuwa bora kabisa mahali ambapo vikolezo havikufunika mchuzi,positive
Nimekuwa na matatizo ya akili kupoteza ishara za mwili na nyingine zaidi,negative
mwenye duka alikuwa akifanya kazi katika nobu ili mahali hapa pafanane kikweli na nusu ya bei,positive
Natumaini mwelekezi jemus kox aweza kugeuza nukta hiyo kuwa filamu yenye urefu wa kadiri au yenye kutushindilia kwa filamu mpya kabisa,positive
Epuka kabisa,negative
yale mambo ya kuigiza yaliyo wazi hukukazia uangalifu wako kwa sababu yanapotea kihisia - moyo na yameruka - ruka,negative
Mama yangu na ndugu yangu walilazimika kufanya hivyo wakati ilipoona robirt ryan akionyesha mtu wa aina hiyo ilikuwa mwigizo mzuri sana wa mtu wa aina hii na mimi alivutiwa,positive
Nimenunua vitu hivyo kwa ajili ya familia na marafiki na wote wanafurahia jinsi wanavyovitumia kwa njia rahisi na yenye kueleweka,positive
nilianza kutizama hii lakini sikuamini mhusika yeyote,negative
kiazi kile kinaonekana,positive
lakini vidole vidogo vya miguu vilibaki vibe 90 na kutokeza moja ya katuni zenye kuchekesha zaidi na zenye ncha kali zaidi zilizowahi kubuniwa,positive
Ninaikosa na kutamani kwamba walikuwa na mmoja waphiladelphia,positive
Enzi ya taya ni yenye kutisha pia,positive
hadithi hizo zilikuwa zisizoaminika kama wahusika,negative
ninapenda jambo hili,positive
Kwa kusikitisha haikufaulu,negative
Huu ndio ufikisho!,positive
[ Maelezo ya Chini],positive
ushabiki mkubwa wa mfululizo huu hasa kwa sababu ya mtindo wa mchele wa kunyumbuka na matibabu,positive
Nilinunua hii ili nitumie na moto wangu wa kuwasha na nikaupenda kabisa,positive
Kwa kweli napendekeza mahali hapa uwezapo kwenda vibaya na mahali hapa pa kufanyia kazi,positive
mke alichukia uduvi wa nazi na rafiki zetu kwa kweli hawakufurahia milo yao pia,negative
Kasoro ya ubuni,negative
ilikuwa na matokeo sana,positive
Sidhani nimewahi kuona sinema yenye kuchosha kama sehemu hii ya nguo isiyo na lishe,negative
mgeni hastahili hata sekunde moja ya wakati wako,negative
mandhari ilikuwa nzuri sana kwa sauti nzuri ya wapiga fidla wakicheza nyimbo tulizoomba,positive
siwezi kuamini kuwa waigizaji walikubali kufanya filamu hii,negative
Naweza kusikia ninapoendesha gari na mara nyingi si lazima niweke garini mwako kwa sauti kubwa zaidi,positive
wahusika wapya walisahau jambo hilo na nilijikuta nikimsahau nani,negative
inapendeza kweli,positive
niliipenda sana hadithi na dubu alikuwa mzuri sanalakini ikiwa kuna mtu ana swali kuhusu fort steele uliza tu,positive
inapendekezwa sana kwa yeyote aliye na simu ya buluu ya meno,positive
Saa mbaya zaidi na nusu ya maisha yangu,negative
na viunganisho vyake haba kati ya filamu hizo tatu ni za kushangaza,positive
ni filamu inayoelezea kitu chochote kama kisingizio cha kuonyesha tamasha za kipuuzi,negative
tulipenda mahali pa kuishi,positive
filamu hiyo yastahili sana kudos kudos kwa kuchukua msimamo huu kwa sababu ya kitendo cha kipekee kutoka kwa kifaa chake kisichojulikana sana na kwa ajili ya maandishi yasiyo na akili sana ambayo hayawabaishi hadhi hadhi hadhi wasikilizaji au kutoa njia rahisi kwa habari ya ubaguzi wa rangi wa wazungu,positive
kichwa changu hufanyia kazi pichrykeen tu,positive
Chakula kilikuwa chenye kuchosha kwelikweli,negative
