text,labels
bahati mbaya fadhila yoyote kazi utengenezaji filamu hii ilipotea hati kusikitisha,negative
huwa kuliko msemaji mwingine yeyote ukubwa huu hivi walio wengi wangefikiri sifa inakosekana iwe haina thamani gani,positive
iligundua rahisi kutengeneza kutumia bidhaa,positive
ipurkated hii ajili msimamizi gari haifaulu,negative
sinema nzuri kwelikweli upendo usio masharti,positive
mwandiko kipumbavu,negative
kushangaza hupata sinema kupoteza mwingi kutazama,negative
unajua niliitoa 10,positive
sehemu pili spidrocock iliboresha msisimuaji kukimbiza sinema,positive
kufanikiwa filamu kwategemea kubebwa maua kijani kibichi sydney tabia alexander metaley,positive
nitapatia filamu hii 10 kati 10,positive
hufanya kazi nzuri wenye kuchekesha,positive
mahali penye kuchukiza,negative
ubora bora kabisa,positive
hadithi haiwezi kipumbavu,negative
faida kamera nzuri picha nzuri ina mitindo mizuri nyeusi nyeupe,positive
amependezwa picha hii kichwa,positive
ilijaribu kuku aina ravoli cranberrymm,positive
ununue vizuri utapata simu ifuatayo,positive
nimenunua simu hii mkononi nokia majuma machache yaliyopita yenye kuogofya,negative
tamu,positive
shida maandishi,negative
pitio hili limepitwa ninafikiria hadithi dada wawili sinema iliyowahi kutengenezwa,positive
sikuzote raha inayoshughulika,positive
seti kuvutia inayotumiwa filamu nyingi vito vya kupendeza macho,positive
kuna chakula kingi kizuri vegas hivi nahisi nimedanganywa kupoteza fursa kula mchele kampuni,negative
victor mclaglen mbaya brian donlevy haeleweki,negative
squibs anaonekana mbaya,negative
img i alihisi i haikuwa imewahi kula tuhai mlo huu,positive
tumia pesa zako wako mahali pengine,negative
sina maneno mengi kusema kuhusu mahali hapa hufanya kitu vizuri,positive
aliyetukatisha tamaa kabisa mhudumu wetu,negative
kidogo nafikiri ngono yazunguka zunguka mkate mzito kuisukuma mawe kufanya ngono betri ikiwa sanduku ngozi mtindo kimtindo,positive
chakula kilikuwa kibaya,negative
nani akili timamu anayenunua betri hii,negative
akili yako imeoza,negative
kiwango 5 vikolezo kilikuwa bora kabisa mahali ambapo vikolezo havikufunika mchuzi,positive
nimekuwa matatizo akili kupoteza ishara mwili nyingine,negative
duka akifanya kazi nobu mahali hapa pafanane kikweli nusu bei,positive
natumaini mwelekezi jemus kox aweza kugeuza nukta filamu yenye urefu kadiri au yenye kutushindilia filamu mpya kabisa,positive
epuka kabisa,negative
yale mambo kuigiza yaliyo wazi hukukazia uangalifu wako sababu yanapotea kihisia moyo yameruka ruka,negative
