text,tokens
ninakupenda,"['n', 'i', 'n', 'a', 'k', 'u', 'p', 'e', 'n', 'd', 'a']"
nini,[]
watu wote wamezaliwa huru hadhi na haki zao ni sawa wote wamejaliwa akili na dhamiri hivyo yapasa watendeane kindugu,"['wamezaliwa', 'huru', 'hadhi', 'haki', 'zao', 'sawa', 'wamejaliwa', 'akili', 'dhamiri', 'yapasa', 'watendeane', 'kindugu']"
hutusahau,['hutusahau']
sijui,['sijui']
swali nzuri,"['swali', 'nzuri']"
unakumbuka,['unakumbuka']
kwenda kwa teksi hotelini,"['teksi', 'hotelini']"
usisahau kupeleka barua,"['usisahau', 'kupeleka', 'barua']"
nitarudi,['nitarudi']
nina swali,"['nina', 'swali']"
nakupenda,['nakupenda']
usisahau kupeleka barua,"['usisahau', 'kupeleka', 'barua']"
penye nia pana njia,"['penye', 'nia', 'pana', 'njia']"
ni kazi yake,['kazi']
kazi yake nini kitu hiki,"['kazi', 'kitu', 'hiki']"
nimepata kufanya,"['nimepata', 'kufanya']"
habari gani,"['habari', 'gani']"
kwa heri sayoko,"['heri', 'sayoko']"
naomba kulipa,"['naomba', 'kulipa']"
lala salama timmy,"['lala', 'salama', 'timmy']"
habari zako,"['habari', 'zako']"
je unaitwa nani,"['je', 'unaitwa', 'nani']"
mimi ninaitwa jack,"['ninaitwa', 'jack']"
je unakaa hapa,"['je', 'unakaa', 'hapa']"
mawazo ya kijani yasiyokamili yanalala hoi,"['mawazo', 'kijani', 'yasiyokamili', 'yanalala', 'hoi']"
watoto wanakwenda shuleni,"['watoto', 'wanakwenda', 'shuleni']"
kichwa kinauma,"['kichwa', 'kinauma']"
usipofahamu uliza,"['usipofahamu', 'uliza']"
mvulana anaruka,"['mvulana', 'anaruka']"
farasi anaruka,"['farasi', 'anaruka']"
msichana anaruka,"['msichana', 'anaruka']"
mbwa anaruka,"['mbwa', 'anaruka']"
nani anasoma,"['nani', 'anasoma']"
je kuna sababu yoyote,"['je', 'kuna', 'sababu', 'yoyote']"
kwa nini mambo yanakuwa hivi bwana yusufu,"['mambo', 'yanakuwa', 'hivi', 'bwana', 'yusufu']"
ndiyo kuna sababu kubwa mbili,"['ndiyo', 'kuna', 'sababu', 'mbili']"
kwanza wanawake wana wakati mwingi zaidi kuliko wanaume pili wanawake wanafikiri mambo machache zaidi kuliko wanaume,"['kwanza', 'wanawake', 'wana', 'mwingi', 'kuliko', 'wanaume', 'pili', 'wanawake', 'wanafikiri', 'mambo', 'machache', 'kuliko', 'wanaume']"
wanaume wakakwenda kazini,"['wanaume', 'wakakwenda', 'kazini']"
wanaume huchoka wakirudi kutoka kazini,"['wanaume', 'huchoka', 'wakirudi', 'kazini']"
pengine husema mimi leo siwezi kwenda shuleni nitakwenda kesho,"['pengine', 'husema', 'leo', 'siwezi', 'shuleni', 'nitakwenda', 'kesho']"
kumbe wanachelewa,"['kumbe', 'wanachelewa']"
nimesikia kuwa hamli mboga za majani kwenu mnasema kuwa ni chakula cha wanyama,"['nimesikia', 'hamli', 'mboga', 'majani', 'kwenu', 'mnasema', 'chakula', 'wanyama']"
huo ni uongo mtupu,"['uongo', 'mtupu']"
kule watu wanaelewa,"['kule', 'wanaelewa']"
wanajua maana ya vitamin ni nini,"['wanajua', 'maana', 'vitamin']"
usipokula chakula cha majani huwezi kupata vitamin,"['usipokula', 'chakula', 'majani', 'huwezi', 'kupata', 'vitamin']"
mimi nilistaajabu sana,['nilistaajabu']
nilistaajabu niliposikia kuwa kweli watu hawali mboga za majani,"['nilistaajabu', 'niliposikia', 'kweli', 'hawali', 'mboga', 'majani']"
hiyo si kweli hata kidogo,"['si', 'kweli', 'kidogo']"
bwana yusufu sasa naona wakati unakaribia,"['bwana', 'yusufu', 'naona', 'unakaribia']"
sina budi nikimbilie gari la moshi,"['sina', 'budi', 'nikimbilie', 'gari', 'moshi']"
vema ningefurahi sana kama ungeniandikia barua mara tu ufikapo mwanza,"['vema', 'ningefurahi', 'ungeniandikia', 'barua', 'ufikapo', 'mwanza']"
unieleze habari zote za safari uliyosafiri,"['unieleze', 'habari', 'zote', 'safari', 'uliyosafiri']"
unieleze jinsi utakavyopanda stima kutoka pale mwanza mpaka bukoba,"['unieleze', 'jinsi', 'utakavyopanda', 'stima', 'pale', 'mwanza', 'mpaka', 'bukoba']"
kwaheri bwana safiri salama,"['kwaheri', 'bwana', 'safiri', 'salama']"
kwaheri bwana asante,"['kwaheri', 'bwana', 'asante']"
wewe mwenyewe utashuhudia,"['wewe', 'mwenyewe', 'utashuhudia']"
omba mungu uitembelee nchi hiyo siku moja,"['omba', 'mungu', 'uitembelee', 'nchi', 'siku']"
baba kwa nini unavaa nguo safi kwa sababu ninakwenda kanisani,"['baba', 'unavaa', 'nguo', 'safi', 'sababu', 'ninakwenda', 'kanisani']"
daudi unataka twende kanisani hapana baba sitaki leo nitakwenda kesho peke yangu,"['daudi', 'unataka', 'twende', 'kanisani', 'hapana', 'baba', 'sitaki', 'leo', 'nitakwenda', 'kesho', 'peke']"
lakini mama yako anakwenda pia,"['mama', 'yako', 'anakwenda']"
ijapokuwa nitakaa nyumbani peke yangu sitakwenda mahali popote siku ya leo,"['ijapokuwa', 'nitakaa', 'nyumbani', 'peke', 'sitakwenda', 'mahali', 'popote', 'siku', 'leo']"
sitaki ndizi zozote,"['sitaki', 'ndizi', 'zozote']"
sitaki maziwa yoyote,"['sitaki', 'maziwa', 'yoyote']"
sitaki watu wo wote,"['sitaki', 'wo']"
hatukuona michezo yo yote,"['hatukuona', 'michezo', 'yo', 'yote']"
hatukuona watoto wo wote,"['hatukuona', 'watoto', 'wo']"
yeye hana jamaa ye yote,"['hana', 'jamaa', 'ye', 'yote']"
yeye hana rafiki ye yote,"['hana', 'rafiki', 'ye', 'yote']"
